ccn,name,city,county,county_fips,zip,hospital_type,critical_access,ownership,emergency_services,health_system,county_rural,county_rucc,in_cehrt_bundle,endpoint_resolvable,org_endpoint_linked,ehr_vendor,vendor_record_synthetic,match_method
390057,ST LUKE'S HOSPITAL - GRAND VIEW CAMPUS,SELLERSVILLE,BUCKS,42017,18960,Acute Care Hospitals,False,Voluntary non-profit - Other,True,St. Luke's University Health Network,False,1,True,True,False,Epic,False,name_city_exact
390058,UPMC CARLISLE,CARLISLE,CUMBERLAND,42041,17015,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,2,True,True,False,Epic,False,name_city_exact
39005F,ERIE VA MEDICAL CENTER,ERIE,ERIE,42049,16504,Acute Care - Veterans Administration,False,Veterans Health Administration,False,Veterans Health Administration,False,2,True,True,True,NextGen,False,name_city_token
390062,CONEMAUGH NASON MEDICAL CENTER,ROARING SPRING,BLAIR,42013,16673,Acute Care Hospitals,False,Voluntary non-profit - Other,True,Conemaugh Health System,False,3,True,True,False,Epic,False,name_city_exact
390063,UPMC HAMOT,ERIE,ERIE,42049,16550,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,2,True,True,False,Epic,False,name_city_exact
390065,GETTYSBURG HOSPITAL,GETTYSBURG,ADAMS,42001,17325,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,3,True,True,True,athenahealth,False,name_city_exact
390066,WELLSPAN GOOD SAMARITAN HOSPITAL,LEBANON,LEBANON,42075,17042,Acute Care Hospitals,False,Voluntary non-profit - Private,True,WellSpan Health,False,3,True,True,False,Epic,False,name_city_exact
390067,UPMC PINNACLE HOSPITALS,HARRISBURG,DAUPHIN,42043,17104,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,2,True,True,True,athenahealth,False,name_city_token
390068,UPMC LITITZ,LITITZ,LANCASTER,42071,17543,Acute Care Hospitals,False,Voluntary non-profit - Other,True,UPMC,False,2,True,True,False,Epic,False,name_city_exact
39006F,LEBANON VA MEDICAL CENTER,LEBANON,LEBANON,42075,17042,Acute Care - Veterans Administration,False,Veterans Health Administration,True,Veterans Health Administration,False,3,True,True,False,Epic,False,name_city_token
390070,LOWER BUCKS HOSPITAL,BRISTOL,BUCKS,42017,19007,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390073,UPMC ALTOONA,ALTOONA,BLAIR,42013,16601,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,3,True,True,False,Epic,False,name_city_exact
390079,ROBERT PACKER HOSPITAL,SAYRE,BRADFORD,42015,18840,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,6,True,True,False,Epic,False,name_city_exact
390086,PENN HIGHLANDS DUBOIS,DUBOIS,CLEARFIELD,42033,15801,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn Highlands Healthcare,True,4,False,False,False,,False,
390090,WEST PENN HOSPITAL,PITTSBURGH,ALLEGHENY,42003,15224,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390091,UPMC NORTHWEST,SENECA,VENANGO,42121,16346,Acute Care Hospitals,False,Voluntary non-profit - Other,True,UPMC,True,4,True,True,False,Epic,False,name_city_exact
390093,CLARION HOSPITAL,CLARION,CLARION,42031,16214,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,6,True,True,True,AdvancedMD,True,name_city_token
390096,PENN STATE HEALTH ST. JOSEPH,READING,BERKS,42011,19605,Acute Care Hospitals,False,Voluntary non-profit - Private,True,Penn State Health,False,2,False,False,False,,False,
390097,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,MEADOWBROOK,MONTGOMERY,42091,19046,Acute Care Hospitals,False,Voluntary non-profit - Church,True,,False,1,True,True,True,athenahealth,False,name_city_exact
39009F,PHILADELPHIA VA MEDICAL CENTER,PHILADELPHIA,PHILADELPHIA,42101,19104,Acute Care - Veterans Administration,False,Veterans Health Administration,True,Veterans Health Administration,False,1,True,True,True,Office Practicum,False,name_city_token
390100,LANCASTER GENERAL HOSPITAL,LANCASTER,LANCASTER,42071,17602,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,2,True,True,False,Epic,False,name_city_exact
390101,UPMC MEMORIAL,YORK,YORK,42133,17408,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,2,True,True,False,Epic,False,name_city_exact
390102,UPMC ST MARGARET,PITTSBURGH,ALLEGHENY,42003,15215,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,1,True,True,False,Epic,False,name_city_exact
390107,UPMC PASSAVANT,PITTSBURGH,ALLEGHENY,42003,15237,Acute Care Hospitals,False,Voluntary non-profit - Private,True,UPMC,False,1,True,True,True,athenahealth,False,name_city_exact
390110,CONEMAUGH MEMORIAL MEDICAL CENTER,JOHNSTOWN,CAMBRIA,42021,15905,Acute Care Hospitals,False,Proprietary,True,Conemaugh Health System,False,3,True,True,False,Epic,False,name_city_exact
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,PHILADELPHIA,PHILADELPHIA,42101,19104,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,False,1,True,True,False,Epic,False,name_city_exact
390112,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,WINDBER,SOMERSET,42111,15963,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,6,True,True,True,MEDITECH,False,name_city_exact
390113,MEADVILLE MEDICAL CENTER,MEADVILLE,CRAWFORD,42039,16335,Acute Care Hospitals,False,Voluntary non-profit - Private,True,,True,4,True,True,True,MEDITECH,False,name_city_exact
390114,MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,PITTSBURGH,ALLEGHENY,42003,15213,Acute Care Hospitals,False,Voluntary non-profit - Other,True,UPMC,False,1,True,True,False,Epic,False,name_city_token
